dataset,model,prompt,avg_qwk,avg_kendall_tau,avg_kendall_w,avg_pearson,avg_rmse,avg_exact_match,avg_within_0.5,avg_bias,traits_count
ASAP_2_Final_github_train,meta.llama3-1-70b-instruct-v1:0,Keywords,0.609018160711789,0.5349184332597512,0.8014700098311094,0.6145243176910568,0.8700954347342273,0.474596844113057,0.474596844113057,-0.04207849257268366,1
ASAP_2_Final_github_train,meta.llama3-1-405b-instruct-v1:0,Keywords,0.5916254792191653,0.5448013301061384,0.8081572588846068,0.6268893442503412,0.9413984304192075,0.43427514878372914,0.43427514878372914,-0.34332928872710466,1
ASAP_2_Final_github_test,meta.llama3-1-70b-instruct-v1:0,Keywords,0.5809195214495158,0.5041773613197036,0.7840371703747244,0.5874340889588118,0.8752178016337053,0.46111335759536326,0.46111335759536326,-0.07265130071438199,1
ASAP_2_Final_github_train,meta.llama3-1-70b-instruct-v1:0,Guidelines,0.5424568642477392,0.5293302521366171,0.8065411681111088,0.6251218874031993,0.8996157657875055,0.17556367008636178,0.6542050657856605,-0.37326841708688346,1
ASAP_2_Final_github_test,meta.llama3-1-70b-instruct-v1:0,Guidelines,0.5109087690170483,0.5054165357678327,0.7929246749033906,0.6057854713285564,0.9120191111764719,0.17004595836712624,0.6335496080021628,-0.41511219248445524,1
ASAP_2_Final_github_train,meta.llama3-1-405b-instruct-v1:0,Guidelines,0.4964383674195596,0.5240615966890138,0.8051363726298837,0.6225904984477107,1.0405484551049387,0.14664586583463338,0.5653203905934016,-0.6213670769052985,1
ASAP_2_Final_github_train,meta.llama3-1-8b-instruct-v1:0,Keywords,0.4655356703008988,0.5383453265421272,0.8065984043278588,0.604890417178793,0.9427213607857952,0.24881543973188489,0.5692823298278054,-0.44259216456720213,1
ASAP_2_Final_github_test,meta.llama3-1-8b-instruct-v1:0,Keywords,0.45894720099994146,0.5312512561278016,0.8013837183895347,0.607115606268922,0.9155670577988845,0.24834927907290122,0.5770111844764857,-0.4319498719849077,1
ASAP_2_Final_github_train,meta.llama3-1-8b-instruct-v1:0,Guidelines,0.3739480852004208,0.5187630866678529,0.7944631814180321,0.584077364007125,1.0760799119389846,0.12884393063583816,0.5533526011560693,-0.6606936416184971,1
ASAP_2_Final_github_test,meta.llama3-1-8b-instruct-v1:0,Guidelines,0.3698345639572652,0.5015257364082705,0.7838464647477229,0.5779107805237401,1.0526476737016304,0.13600215662488205,0.5573527429572719,-0.6485375387518534,1
ASAP_2_Final_github_train,openai.gpt-oss-120b-1:0,Keywords,0.301649889560925,0.42430981063974355,0.7348408057057919,0.47706640337062695,1.1428619148634576,0.3467960940659849,0.3599699543537297,-0.6788293753972381,1
ASAP_2_Final_github_test,openai.gpt-oss-120b-1:0,Keywords,0.2931656083780626,0.41879160738713445,0.7309596555159819,0.47514154253287316,1.129485622391833,0.3518393747473386,0.36396712033418677,-0.6897318420698019,1
ASAP_2_Final_github_train,openai.gpt-oss-20b-1:0,Keywords,0.26372438239329765,0.4489274714716546,0.754604610144884,0.5047974891195,1.4345127274735894,0.1992372587541893,0.22593320235756384,-1.1025366924765978,1
ASAP_2_Final_github_test,openai.gpt-oss-20b-1:0,Keywords,0.25471449301828153,0.45285820515447756,0.7558926790678806,0.5132556453926421,1.4368238812099805,0.19544412993664914,0.22509772206496834,-1.1321606685537133,1
ASAP_2_Final_github_train,openai.gpt-oss-20b-1:0,Guidelines,0.1398743050843373,0.454220239830783,0.7594350384871452,0.5062624193487288,1.704149065977764,0.07745217039477487,0.21102826426218138,-1.4441650771631698,1
ASAP_2_Final_github_test,openai.gpt-oss-20b-1:0,Guidelines,0.12975334652336035,0.4427482198858176,0.7510513038177972,0.5024041726748858,1.6989039920394127,0.07307536739921801,0.20911419711473642,-1.4527436969124983,1
ASAP_2_Final_github_train,openai.gpt-oss-120b-1:0,Guidelines,0.12208953713178639,0.4899864742218193,0.7737109676874038,0.5367995794702846,1.7276417616244772,0.06142023458716126,0.22355116426879298,-1.473854509735945,1
ASAP_2_Final_github_test,openai.gpt-oss-120b-1:0,Guidelines,0.10696949857314086,0.45299614239829955,0.7521472643313092,0.49842155541673605,1.724546346062355,0.061986255221668236,0.22638458428783184,-1.475946637919418,1
